name,cipn
IDT,B00B3
iFound,B11DA
IIT Madras,B09E9
Ikano s Communications,B0389
Ikegami Tsushinki Co Ltd,B082F
iKoa Corporation,B0640
ILC Data Device,B0183
Imaging Works Inc,B05A1
Impinj,B0998
Improv Systems,B0345
IMS Electronic s Co Ltd,B0864
in2Hinc,B08CB
Inc,B0751
Indie Semiconductor,B08D6
INDUSYS GmbH,B0346
Infineon  (Siemens),B00C1
Infinera Corporation,B06DC
InfiniteMemories,B0645
Infomax,B089D
Infrant Technologies,B03C8
Ingenic Semiconductor Co Ltd,B1325
Inicore Inc,B0638
Inmos,B0008
InnoDisk Corporation,B06F1
Innofidei,B06F4
Innovaciones Microelectronica s,B057C
Innovasic Semiconductor,B0598
Innovics Wireless,B0402
Innovium  Inc,B08FD
Inova Semiconductors GmbH,B0292
Inphi Corporation,B04B3
Insignis Technology Corporation,B0932
InSilica,B0694
Inspur Electronic Information Industry,B1173
Insyte,B04BA
Int egrated  Silicon Solutions,B00D5
Integ. Memories Tech.,B011F
Integrat ed CMOS (Vertex),B003B
Integrated  Silicon Solution Israel Ltd,B1164
Integrated Memory System,B0168
Integrated Silicon Solution (I SSI),B019D
Integrated Technology Express,B02E6
Intel,B0089
Intelimem,B095D
Intelligence  Silicon Technology,B07FE
Intellitech Corporation,B0243
INTENSO,B0904
InterDigital Communications,B0576
Internet Machines,B03EC
Intersil,B000B
Intl. CMOS Technology,B00A7
Intrinsity,B034F
Inuitive,B0773
INVECAS Inc,B0852
IPASON,B1232
IPtronics AS,B06C4
IQ-Analog Corporation,B0916
Ishoni Networks,B0245
ISOA Incorporated,B0202
iStor Networks,B04D3
Itautec SA,B0231
Itec Memory,B015E
ITRenew Inc,B1113
iVivity Inc,B05D5
J&A Information Inc,B09D5
Jade Star Technolo gies,B03D6
Jasmine Networks,B02E9
Javad GNSS  Inc,B0631
Jazer,B1115
Jennic,B0686
Jesis,B1291
JHICC,B1283
Jiangsu Huacun Electro nic Technology,B0979
Jiangsu Xinsheng Intelligent Technology,B110D
Jinshen,B0967
JinSheng Electronic (Shenzhen) Co Ltd,B10E6
Jinyu,B09BC
JISHUN,B11C4
JJT Solution Co Ltd,B11D5
Jone,B0838
JSC EDC Electronics,B0723
JSC ICC Milandr,B06EF
JTAG Technologies,B0107
JUHOR,B0875
Jump Trading,B1015
Juniper Networks,B01B0
Just Young Computer,B04AE
Kandit Technology  Co Ltd,B07A4
Kandou Bus SA,B10EA
Kawasaki Steel,B005B
Kembona,B11BA
Kendin Communications,B021A
Kentron Technologies,B022A
Key Stream,B045B
KeyEye Communications,B0404
"Keymos Electronics Co., Limited",B1308
Keysight Technologies,B082A
Kian Tech LLC,B05BC
Kimtigo Semiconductor (HK) Limited,B0968
King Kong,B080B
King Tiger Technology,B0710
Kingbank Technology Co Ltd,B1192
KingboMars Technology Co Ltd,B0768
KINGBOX Technology Co Ltd,B0451
Kingcore,B07C7
Kinglife,B0651
Kingmax Semiconductor,B0325
Kingred Electronic Technology Ltd,B086B
KingSpec,B1002
Kingston,B0198
Kingxcon,B06A7
Kioxia Corporation,B0098
Klic,B00D0
Kllisre,B09C2
Kongsberg Maritime,B0437
Korea Uhbele International Group Ltd,B08AE
Kowin Memory Technology Co Ltd,B11EA
Kreton Corporation,B05E3
Kuso,B083D
Kyokuto Electronic Inc,B1007
Lab,B0894
Lanson Memory  Co Ltd,B09B3
Lanstar Semiconductor,B0116
Lantiq Deutschland GmbH,B0789
Lara Technology,B01DC
Lattice Semi.,B00A1
Layer N Networks,B03E6
Leahkinn Technology Limited,B08A8
LeCroy,B01F1
Legacy Electronics,B0446
Legend,B0234
Legend Silicon Corp,B0420
Legerity,B0268
Leica Geosystems AG,B0794
Lenovo,B08C8
LEORICE,B129D
LevelNetworks,B0516
LeWiz Communications,B04C1
Lexar Co Limited,B1076
Lexar Media,B065E
LG Semi (Goldstar),B00E0
Libit Signal Processi ng,B0131
Lifelong,B1215
Lifetime Memory Products,B073E
LightSand Communications,B030E
LightSpeed Semi.,B01B5
Ling Rui Technology (Shenzhen) Co Ltd,B1125
Linvex Technology,B0154
Linzhi Hong Kong Co Limited,B1316
LiSion Technologies Inc,B1107
Litchfield Communication,B036E
LITEON IT Corporation,B07F2
LOGIC Devices,B0432
LOKI,B08E3
Lorom Industrial Co Ltd,B0558
Lowrance Electronics,B04DC
lowRISC,B12EF
LSI Logic,B00B6
Lucent (AT&T),B009D
Luminous Computing Inc,B1334
LuoSilk,B118A
Lynxi Technologies Ltd Co,B12A8
Lyontek Inc,B09AE
M ustang,B07CE
M.H.S. SAS,B0545
M2Inc,B06BA
Mach Xtreme Technology Ltd,B071A
MACNICA DHW LTDA,B09DC
Macronix,B00C2
Magis Works,B039B
Magnum Semiconductor Inc,B05AE
Makway International,B05C8
Malaysia Micro Solutions,B0258
Malleable Technolog ies,B0219
Marvell Semiconductors,B03E9
Massana Design,B03CE
Mathstar,B042A
Matsushita Battery,B0376
Mavrix Technology Inc,B0602
Maxell Corporation of America,B130D
Maxim Integrated Product,B01CB
MaxLinear Inc,B0861
Maxsun,B09A2
MBit Wireless Inc,B10FB
MCLogic Inc,B1073
MDT Technologies GmbH,B0264
Media Visio n,B00FD
MediaTek,B0426
Mediaworks Integrated Systems,B046B
Megic,B02D6
MEJEC,B12E5
Mellanox Technologies,B025D
Meminsights Technology,B1332
MEMORFI,B0986
Memoright Corporation,B0734
Memory Card Technology,B01D0
Memory Corp NV,B069B
Memory Exchange Corp,B06E0
Memory Experts Intl,B03B0
Memorysolution GmbH,B036D
Memorysolution GmbH,B08B3
Memphis Electronic,B0752
MemxPro Inc,B091C
Mercury Systems,B0804
MetaLink Technologies,B0251
Metanoia,B04DA
